Date,Time,co,no,pm10,pm25
22/2/2020,10:36:19,17.601,0.166,4.000,3.000
22/2/2020,10:36:51,11.741,0.166,4.000,3.000
22/2/2020,10:35:44,8.812,0.176,4.000,3.000
22/2/2020,10:44:51,11.741,0.176,4.000,3.000
22/2/2020,10:41:10,11.741,0.176,4.000,3.000
22/2/2020,10:36:14,17.601,0.166,4.000,3.000
22/2/2020,10:44:35,14.671,0.186,4.000,3.000
22/2/2020,10:42:0,18.577,0.195,4.000,3.000
22/2/2020,10:41:0,11.741,0.176,5.000,4.000
22/2/2020,10:42:55,12.718,0.176,4.000,3.000
22/2/2020,10:37:20,14.671,0.186,4.000,3.000
22/2/2020,10:40:50,9.788,0.166,5.000,4.000
22/2/2020,10:33:4,9.788,0.166,5.000,4.000
22/2/2020,10:38:35,16.624,0.176,4.000,3.000
22/2/2020,10:39:35,13.695,0.176,4.000,3.000
22/2/2020,10:43:31,17.601,0.166,5.000,4.000
22/2/2020,10:41:20,13.695,0.166,4.000,3.000
22/2/2020,10:39:5,16.624,0.176,4.000,3.000
22/2/2020,10:37:35,14.671,0.186,4.000,3.000
22/2/2020,10:41:51,13.695,0.166,4.000,3.000
22/2/2020,10:20:22,15.648,0.166,4.000,3.000
22/2/2020,10:37:45,14.671,0.186,4.000,3.000
22/2/2020,10:35:39,8.812,0.176,4.000,3.000
22/2/2020,10:44:46,11.741,0.176,4.000,3.000
22/2/2020,10:35:24,8.812,0.176,4.000,3.000
22/2/2020,10:40:10,13.695,0.176,4.000,3.000
22/2/2020,10:44:25,14.671,0.186,4.000,3.000
22/2/2020,10:35:19,17.601,0.176,4.000,3.000
22/2/2020,10:37:10,14.671,0.186,4.000,3.000
22/2/2020,10:38:5,10.765,0.157,4.000,3.000
22/2/2020,10:43:15,17.601,0.166,4.000,3.000
22/2/2020,10:33:25,9.788,0.166,4.000,3.000
22/2/2020,10:44:21,14.671,0.186,4.000,3.000
22/2/2020,10:39:50,13.695,0.176,4.000,3.000
22/2/2020,10:40:0,13.695,0.176,4.000,3.000
22/2/2020,10:34:24,10.765,0.186,4.000,3.000
22/2/2020,10:39:10,13.695,0.176,4.000,3.000
22/2/2020,10:43:35,17.601,0.166,5.000,4.000
22/2/2020,10:41:31,9.788,0.176,5.000,4.000
22/2/2020,10:38:10,16.624,0.176,4.000,3.000
22/2/2020,10:38:45,16.624,0.176,4.000,3.000
22/2/2020,10:44:5,14.671,0.166,4.000,3.000
22/2/2020,10:37:50,10.765,0.157,4.000,3.000
22/2/2020,10:44:11,14.671,0.166,4.000,3.000
22/2/2020,10:43:51,10.765,0.186,4.000,3.000
22/2/2020,10:40:20,13.695,0.176,4.000,3.000
22/2/2020,10:41:45,13.695,0.166,4.000,3.000
22/2/2020,10:40:55,9.788,0.166,4.000,3.000
22/2/2020,10:20:17,15.648,0.166,4.000,3.000
22/2/2020,10:40:35,12.718,0.166,4.000,3.000
22/2/2020,10:41:55,13.695,0.166,4.000,3.000
